Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name
drift_2_run3,19.0,2.4896949293550515e-12,0.021285628481812893,0.00011281982648523201,2.5100220982547836,0.00028318025759920267,1,2,hbr,True,S1_D2 hbr
drift_2_run4,19.0,2.4896949293550515e-12,0.002781822200464731,0.00011936699509305446,-3.4340195244950142,-0.0004099085917298496,1,2,hbr,True,S1_D2 hbr
drift_3_run1,19.0,2.4896949293550515e-12,0.8226383531445671,0.00010409477756513237,-0.22727391238278372,-2.3658027355843254e-05,1,2,hbr,False,S1_D2 hbr
drift_3_run2,19.0,2.4896949293550515e-12,0.15831622218474262,0.00011219661821509664,-1.46855244133687,-0.0001647666175895209,1,2,hbr,False,S1_D2 hbr
drift_3_run3,19.0,2.4896949293550515e-12,1.6002167751395194e-06,0.00011253297062714497,6.833751384535451,0.0007690223438291392,1,2,hbr,True,S1_D2 hbr
drift_3_run4,19.0,2.4896949293550515e-12,0.0001033256159962383,0.00011675143476923002,-4.882871758498455,-0.0005700822835988479,1,2,hbr,True,S1_D2 hbr
arith,19.0,5.254260480903611e-12,6.209345005188569e-10,3.312248285200801e-06,-11.391282528217925,-3.773075602032767e-05,3,2,hbo,True,S3_D2 hbo
arith1,19.0,5.254260480903611e-12,0.6699735249501044,3.3114466375928043e-06,-0.43288337494085105,-1.4334701964177065e-06,3,2,hbo,False,S3_D2 hbo
constant_run1,19.0,5.254260480903611e-12,0.32759468721894447,4.349317840119484e-06,-1.0048520766840545,-4.37042106380307e-06,3,2,hbo,False,S3_D2 hbo
constant_run2,19.0,5.254260480903611e-12,0.013646797593302326,4.600869049684635e-06,2.7180536267136257,1.2505408806529794e-05,3,2,hbo,True,S3_D2 hbo
constant_run3,19.0,5.254260480903611e-12,0.29921854523074526,4.589615820036211e-06,-1.0672821187718127,-4.8984148967568775e-06,3,2,hbo,False,S3_D2 hbo
constant_run4,19.0,5.254260480903611e-12,0.002666849008305332,4.68602968224472e-06,3.4526522901836243,1.6179231114270674e-05,3,2,hbo,True,S3_D2 hbo
control,19.0,5.254260480903611e-12,0.10678191013607694,3.3130935133498333e-06,-1.6930335920324249,-5.609178611645995e-06,3,2,hbo,False,S3_D2 hbo
drift_1_run1,19.0,5.254260480903611e-12,0.9444241249992349,0.00015847637132347962,-0.07063794119103911,-1.119444459771723e-05,3,2,hbo,False,S3_D2 hbo
drift_1_run2,19.0,5.254260480903611e-12,0.251007919229707,0.0001725247685918752,1.1840169832770884,0.00020427225604872982,3,2,hbo,False,S3_D2 hbo
drift_1_run3,19.0,5.254260480903611e-12,0.00031251384825689007,0.00017273470581452503,4.393201842318042,0.0007588584278166366,3,2,hbo,True,S3_D2 hbo
drift_1_run4,19.0,5.254260480903611e-12,0.030400394913107632,0.00017985864132661865,2.339219520551779,0.0004207288447311472,3,2,hbo,True,S3_D2 hbo
drift_2_run1,19.0,5.254260480903611e-12,0.00011074687021854912,0.00014565581601585088,-4.851964343674148,-0.0007067168257576705,3,2,hbo,True,S3_D2 hbo
drift_2_run2,19.0,5.254260480903611e-12,0.14582773611501088,0.0001636157221178706,-1.5166079241387815,-0.0002481409006776515,3,2,hbo,False,S3_D2 hbo
drift_2_run3,19.0,5.254260480903611e-12,0.00035502398278925557,0.0001638959264960832,-4.337158594477411,-0.0007108426262023253,3,2,hbo,True,S3_D2 hbo
